tweet_id,tweet_image_url,date,time,favorite_count,retweet_count,text,name,dog_type,dog_prediction,tweet_prediction,prediction_confidence,rating_numerator,rating_denominator,expanded_urls
892420643555336193,https://pbs.twimg.com/media/DGKD1-bXoAAIAUK.jpg,2017-08-01,16:23:56,39467,8853,This is Phineas. He's a mystical boy. Only ever appears in the hole of a donut. 13/10,Phineas,,False,orange,9.7,13.0,13.0,https://twitter.com/dog_rates/status/892420643555336193/photo/1
892177421306343426,https://pbs.twimg.com/media/DGGmoV4XsAAUL6n.jpg,2017-08-01,00:17:27,33819,6514,"This is Tilly. She's just checking pup on you. Hopes you're doing ok. If not, she's available for pats, snugs, boops, the whole bit. 13/10",Tilly,,True,chihuahua,32.36,13.0,13.0,https://twitter.com/dog_rates/status/892177421306343426/photo/1
891815181378084864,https://pbs.twimg.com/media/DGBdLU1WsAANxJ9.jpg,2017-07-31,00:18:03,25461,4328,This is Archie. He is a rare Norwegian Pouncing Corgo. Lives in the tall grass. You never know when one may strike. 12/10,Archie,,True,chihuahua,71.6,12.0,12.0,https://twitter.com/dog_rates/status/891815181378084864/photo/1
891689557279858688,https://pbs.twimg.com/media/DF_q7IAWsAEuuN8.jpg,2017-07-30,15:58:51,42908,8964,This is Darla. She commenced a snooze mid meal. 13/10 happens to the best of us,Darla,,False,paper_towel,17.03,13.0,13.0,https://twitter.com/dog_rates/status/891689557279858688/photo/1
891327558926688256,https://pbs.twimg.com/media/DF6hr6BUMAAzZgT.jpg,2017-07-29,16:00:24,41048,9774,"This is Franklin. He would like you to stop calling him ""cute."" He is a very fierce shark and should be respected as such. 12/10 #BarkWeek",Franklin,,True,basset,55.57,12.0,12.0,"https://twitter.com/dog_rates/status/891327558926688256/photo/1,https://twitter.com/dog_rates/status/891327558926688256/photo/1"
891087950875897856,https://pbs.twimg.com/media/DF3HwyEWsAABqE6.jpg,2017-07-29,00:08:17,20562,3261,Here we have a majestic great white breaching off South Africa's coast. Absolutely h*ckin breathtaking. 13/10 (IG: tucker_marlo) #BarkWeek,None,,True,chesapeake_bay_retriever,42.56,13.0,13.0,https://twitter.com/dog_rates/status/891087950875897856/photo/1
890971913173991426,https://pbs.twimg.com/media/DF1eOmZXUAALUcq.jpg,2017-07-28,16:27:12,12041,2158,Meet Jax. He enjoys ice cream so much he gets nervous around it. 13/10 help Jax enjoy more things by clicking below,Jax,,True,appenzeller,34.17,13.0,13.0,"https://gofundme.com/ydvmve-surgery-for-jax,https://twitter.com/dog_rates/status/890971913173991426/photo/1"
890729181411237888,https://pbs.twimg.com/media/DFyBahAVwAAhUTd.jpg,2017-07-28,00:22:40,56848,16716,When you watch your owner call another dog a good boy but then they turn back to you and say you're a great boy. 13/10,None,,True,pomeranian,56.61,13.0,13.0,"https://twitter.com/dog_rates/status/890729181411237888/photo/1,https://twitter.com/dog_rates/status/890729181411237888/photo/1"
890609185150312448,https://pbs.twimg.com/media/DFwUU__XcAEpyXI.jpg,2017-07-27,16:25:51,28226,4429,This is Zoey. She doesn't want to be one of the scary sharks. Just wants to be a snuggly pettable boatpet. 13/10 #BarkWeek,Zoey,,True,irish_terrier,48.76,13.0,13.0,https://twitter.com/dog_rates/status/890609185150312448/photo/1
890240255349198849,https://pbs.twimg.com/media/DFrEyVuW0AAO3t9.jpg,2017-07-26,15:59:51,32467,7711,This is Cassie. She is a college pup. Studying international doggo communication and stick theory. 14/10 so elegant much sophisticate,Cassie,doggo,True,pembroke,51.13,14.0,14.0,https://twitter.com/dog_rates/status/890240255349198849/photo/1
890006608113172480,https://pbs.twimg.com/media/DFnwSY4WAAAMliS.jpg,2017-07-26,00:31:25,31166,7624,This is Koda. He is a South Australian deckshark. Deceptively deadly. Frighteningly majestic. 13/10 would risk a petting #BarkWeek,Koda,,True,samoyed,95.8,13.0,13.0,"https://twitter.com/dog_rates/status/890006608113172480/photo/1,https://twitter.com/dog_rates/status/890006608113172480/photo/1"
889880896479866881,https://pbs.twimg.com/media/DFl99B1WsAITKsg.jpg,2017-07-25,16:11:53,28268,5156,This is Bruno. He is a service shark. Only gets out of the water to assist you. 13/10 terrifyingly good boy,Bruno,,True,french_bulldog,37.74,13.0,13.0,https://twitter.com/dog_rates/status/889880896479866881/photo/1
889665388333682689,https://pbs.twimg.com/media/DFi579UWsAAatzw.jpg,2017-07-25,01:55:32,38818,8538,Here's a puppo that seems to be on the fence about something haha no but seriously someone help her. 13/10,None,puppo,True,pembroke,96.63,13.0,13.0,https://twitter.com/dog_rates/status/889665388333682689/photo/1
889638837579907072,https://pbs.twimg.com/media/DFihzFfXsAYGDPR.jpg,2017-07-25,00:10:02,27672,4735,This is Ted. He does his best. Sometimes that's not enough. But it's ok. 12/10 would assist,Ted,,True,french_bulldog,99.17,12.0,12.0,"https://twitter.com/dog_rates/status/889638837579907072/photo/1,https://twitter.com/dog_rates/status/889638837579907072/photo/1"
889531135344209921,https://pbs.twimg.com/media/DFg_2PVW0AEHN3p.jpg,2017-07-24,17:02:04,15359,2321,This is Stuart. He's sporting his favorite fanny pack. Secretly filled with bones only. 13/10 puppared puppo #BarkWeek,Stuart,puppo,True,golden_retriever,95.34,13.0,13.0,https://twitter.com/dog_rates/status/889531135344209921/photo/1
